emotion_score,stress_index,trait_load,EEG_feature,cognitive_load_final
1.0,4.594436330336441,5.5,1.0000003903167822,2.978330938132611
1.001516939153885,7.379241071512532,5.5,1.0000000000000004,3.8143790971153138
1.0030338783077701,4.134287602088948,10.0,1.000000133204388,3.741499845270231
1.004550817461655,4.983746648769901,5.5,1.000010141165711,3.0969453357322037
1.0060677566155403,5.940872802471867,1.0,1.0000000000109213,2.4846889433888686
1.0075846957694252,7.226723296653891,1.0,1.0000000000000027,2.8710508673039374
1.0091016349233104,6.947300694100326,5.5,1.0000000000000147,3.6878308621994234
1.0106185740771954,5.3325146021908765,5.5,1.0000469083932844,3.20400650112747
1.0121355132310803,3.7957640528132517,1.0,1.0000000000000007,1.8435834211364077
1.0136524523849655,5.89957536517966,5.5,1.0000000115961862,3.3753335916675034
1.0151693915388504,5.432845408224917,1.0,1.0000000000000004,2.3359213790830156
1.0166863306927356,5.457067120498467,5.5,1.0000000211777864,3.2437946705444127
1.0182032698466206,4.010399794182009,5.5,1.0000000000000044,2.8104012461932513
1.0197202090005058,4.891388731731527,1.0,1.0001481309114653,2.175319516210807
1.0212371481543907,3.862092158951434,5.5,1.0000000000000004,2.7671225069471865
1.0227540873082757,6.139222150107027,1.0,1.0000240308099986,2.5508706830364187
1.0242710264621608,4.24524612669557,1.0,1.0000000000000002,1.9832822485935353
1.0257879656160458,5.470146950752715,10.0,1.0000000000000002,4.1513592714722325
1.027304904769931,4.072514394289347,5.5,1.0000000000019393,2.8326762801949705
1.028821843923816,7.401344487341075,10.0,1.0000003220188165,4.731932115973731
1.030338783077701,7.419351692836327,1.0,1.0000020704491053,2.9379412281268893
1.031855722231586,4.9206539271922445,1.0,1.0000000000000002,2.188938467050308
1.033372661385471,4.285530816792379,1.0,1.0000082878865424,1.9990091383805564
1.0348896005393562,7.396257365349543,1.0,1.0000001078596923,2.9328330606065744
1.0364065396932411,3.753867160996197,10.0,1.0000000000050226,3.6407227641766577
1.0379234788471263,2.623222589775459,1.0,1.0000000000000004,1.5021361684714882
1.0394404180010113,5.081822619617425,1.0,1.0000009767575901,2.240323050761391
1.0409573571548965,5.173249414183305,10.0,1.0000000000000078,4.06835776711695
1.0424742963087814,7.027964777988537,10.0,1.000011056753314,4.625380257595405
1.0439912354626664,4.870970944167688,1.0,1.000000572861748,2.178887834721548
1.0455081746165515,6.535168437176064,1.0,1.0000000000000002,2.67875380099944
1.0470251137704365,3.121176354996837,1.0,1.0000000000000009,1.6551629520072257
1.0485420529243217,4.281683472210657,1.0,1.0000000000000007,2.0039218628329256
1.0500589920782066,4.318410742483763,10.0,1.0000000000000002,3.815546819576412
1.0515759312320916,7.09111445061556,10.0,1.0000000000000004,4.647964707677504
1.0530928703859768,5.5829415149420925,1.0,1.0000000000000004,2.3961196026370186
1.0546098095398617,5.915848594812045,10.0,1.000009227261957,4.296599424985754
1.056126748693747,4.77381060582551,10.0,1.00000213856083,3.954594095081235
1.0576436878476319,4.577610110111261,1.0,1.0000000000001568,2.096340508172447
1.059160627001517,6.438168738968006,5.5,1.0000000000000016,3.555114872491009
1.060677566155402,3.362136185887848,5.5,1.0000000519971843,2.6329118874282336
1.062194505309287,5.356261431734377,1.0,1.000000000000003,2.331756231644029
1.0637114444631721,5.890412345870205,5.5,1.0000000000000007,3.3926082815463303
1.065228383617057,7.03004958300733,1.0,1.0000000000000004,2.835106228349022
